"id","nome","ibge","estado_id"
4742,Araraquara,3503208,26
4770,Barueri,3505708,26
4773,Bauru,3506003,26
4791,Botucatu,3507506,26
4792,Bragança Paulista,3507605,26
4814,Campinas,3509502,26
4827,Carapicuíba,3510609,26
4851,Cotia,3513009,26
4859,Diadema,3513801,26
4893,Franca,3516200,26
4919,Guarujá,3518701,26
4920,Guarulhos,3518800,26
4943,Indaiatuba,3520509,26
4972,Itaquaquecetuba,3523107,26
4980,Itu,3523909,26
5001,Jundiaí,3525904,26
5011,Limeira,3526902,26
5038,Mauá,3529401,26
5051,Mogi das Cruzes,3530607,26
5095,Osasco,3534401,26
5141,Piracicaba,3538709,26
5167,Praia Grande,3541000,26
5195,Ribeirão Preto,3543402,26
5242,Santo André,3547809,26
5250,Santos,3548500,26
5252,São Bernardo do Campo,3548708,26
5253,São Caetano do Sul,3548807,26
5254,São Carlos,3548906,26
5264,São José do Rio Preto,3549805,26
5265,São José dos Campos,3549904,26
5270,São Paulo,3550308,26
5277,São Vicente,3551009,26
5289,Sorocaba,3552205,26
5293,Suzano,3552502,26
5296,Taboão da Serra,3552809,26
5312,Taubaté,3554102,26